state,district,dem_votes,rep_votes,winner,wasted_republican,wasted_democrat
Nevada,1,100707.0,46978.0,d,46978.0,26863.5
Nevada,2,120102.0,167435.0,r,23665.5,120102.0
Nevada,3,148501.0,122566.0,d,122566.0,12966.5
Nevada,4,121962.0,102748.0,d,102748.0,9606.0
Connecticut,1,166155.0,96024.0,d,96024.0,35064.5
Connecticut,2,167659.0,102483.0,d,102483.0,32587.0
Connecticut,3,163211.0,95667.0,d,95667.0,33771.0
Connecticut,4,168726.0,103175.0,d,103175.0,32774.5
Connecticut,5,142901.0,115146.0,d,115146.0,13876.5
Virginia,1,148464.0,183250.0,r,17392.0,148464.0
Virginia,2,139571.0,133458.0,d,133458.0,3055.5
Virginia,4,187642.0,107706.0,d,107706.0,39967.0
Virginia,5,145040.0,165339.0,r,10148.5,145040.0
Virginia,6,113133.0,167957.0,r,27411.0,113133.0
Virginia,7,176079.0,169295.0,d,169295.0,3391.0
Virginia,8,247137.0,76899.0,d,76899.0,85118.0
Virginia,9,85833.0,160933.0,r,37549.0,85833.0
Virginia,10,206356.0,160841.0,d,160841.0,22756.5
Virginia,11,219191.0,83023.0,d,83023.0,68083.0
Louisiana,1,71521.0,192555.0,r,60516.0,71521.0
Louisiana,3,74713.0,168263.0,r,46774.0,74713.0
Louisiana,4,72934.0,139326.0,r,33195.0,72934.0
Louisiana,5,67118.0,149018.0,r,40949.0,67118.0
Louisiana,6,76716.0,186553.0,r,54917.5,76716.0
Michigan,1,145246.0,187251.0,r,21001.5,145246.0
Michigan,2,131254.0,168970.0,r,18857.0,131254.0
Michigan,3,134185.0,169107.0,r,17460.0,134185.0
Michigan,4,106540.0,178510.0,r,35984.0,106540.0
Michigan,5,164502.0,99265.0,d,99265.0,32617.5
Michigan,6,134082.0,147436.0,r,6676.0,134082.0
Michigan,7,136330.0,158730.0,r,11199.0,136330.0
Michigan,8,172880.0,159782.0,d,159782.0,6548.0
Michigan,9,181734.0,112123.0,d,112123.0,34804.5
Michigan,10,106061.0,182808.0,r,38372.5,106061.0
Michigan,11,181912.0,158463.0,d,158463.0,11723.5
Michigan,12,200588.0,85115.0,d,85115.0,57735.5
Michigan,14,214334.0,45899.0,d,45899.0,84216.5
Illinois,1,189560.0,50960.0,d,50960.0,69299.0
Illinois,2,190684.0,44567.0,d,44567.0,73057.5
Illinois,3,163053.0,57885.0,d,57885.0,52583.0
Illinois,4,143895.0,22294.0,d,22294.0,60799.5
Illinois,5,213992.0,65134.0,d,65134.0,74428.0
Illinois,6,169001.0,146445.0,d,146445.0,11277.0
Illinois,7,215746.0,30497.0,d,30497.0,92623.5
Illinois,8,130054.0,67073.0,d,67073.0,31489.5
Illinois,9,213368.0,76983.0,d,76983.0,68191.5
Illinois,10,156540.0,82124.0,d,82124.0,37207.0
Illinois,11,145407.0,82358.0,d,82358.0,31523.5
Illinois,12,118724.0,134884.0,r,8079.0,118724.0
Illinois,13,134458.0,136516.0,r,1028.0,134458.0
Illinois,14,156035.0,141164.0,d,141164.0,7434.5
Illinois,15,74309.0,181294.0,r,53491.5,74309.0
Illinois,16,104569.0,151254.0,r,23341.5,104569.0
Illinois,17,142659.0,87090.0,d,87090.0,27783.5
Illinois,18,95486.0,195927.0,r,50219.5,95486.0
Kansas,1,71558.0,153082.0,r,40761.0,71558.0
