state,district,dem_votes,rep_votes,winner,wasted_republican,wasted_democrat
Alabama,1,89226.0,153228.0,r,76614.0,89226.0
Alabama,2,86931.0,138879.0,r,69439.5,86931.0
Alabama,3,83996.0,147770.0,r,73885.0,83996.0
Alabama,4,46492.0,184255.0,r,92127.5,46492.0
Alabama,5,101388.0,159063.0,r,79531.5,101388.0
Alabama,6,85644.0,192542.0,r,96271.0,85644.0
Alaska,0,131199.0,149779.0,r,74889.5,131199.0
Arizona,1,143240.0,122784.0,d,122784.0,71620.0
Arizona,2,161000.0,133083.0,d,133083.0,80500.0
Arizona,3,114650.0,64868.0,d,64868.0,57325.0
Arizona,4,84521.0,188842.0,r,94421.0,84521.0
Arizona,5,127027.0,186037.0,r,93018.5,127027.0
Arizona,6,140559.0,173140.0,r,86570.0,140559.0
Arizona,8,135569.0,168835.0,r,84417.5,135569.0
Arizona,9,159583.0,101662.0,d,101662.0,79791.5
Arkansas,1,57907.0,138757.0,r,69378.5,57907.0
Arkansas,2,116135.0,132125.0,r,66062.5,116135.0
Arkansas,3,74952.0,148717.0,r,74358.5,74952.0
Arkansas,4,63984.0,136740.0,r,68370.0,63984.0
California,1,131548.0,160046.0,r,80023.0,131548.0
California,2,243081.0,72576.0,d,72576.0,121540.5
California,3,134875.0,97376.0,d,97376.0,67437.5
California,4,156253.0,184401.0,r,92200.5,156253.0
California,7,155016.0,126601.0,d,126601.0,77508.0
California,9,113414.0,87349.0,d,87349.0,56707.0
California,10,115945.0,105955.0,d,105955.0,57972.5
California,11,204369.0,71312.0,d,71312.0,102184.5
California,12,275292.0,41780.0,d,41780.0,137646.0
California,14,211384.0,55439.0,d,55439.0,105692.0
California,15,177989.0,65940.0,d,65940.0,88994.5
California,16,82266.0,60693.0,d,60693.0,41133.0
California,17,159105.0,52057.0,d,52057.0,79552.5
California,18,225142.0,77096.0,d,77096.0,112571.0
California,19,162496.0,57823.0,d,57823.0,81248.0
California,21,57239.0,56377.0,d,56377.0,28619.5
California,22,105136.0,117243.0,r,58621.5,105136.0
California,23,74661.0,131113.0,r,65556.5,74661.0
