state,dem_votes,rep_votes,num_districts,wasted_democrat,wasted_republican,e_gap
Alabama,493677.0,975737.0,6,493677.0,241024.0,0.17194133171454742
Arizona,1066149.0,1139251.0,8,565710.0,536982.0,0.013026208397569601
Arkansas,312978.0,556339.0,4,312978.0,121676.5,0.2200595409959773
California,6608298.0,3802611.0,44,2178877.0,3026533.5,-0.08142002778047527
Colorado,1343211.0,1079772.0,7,631747.0,579737.5,0.021465070122241883
Connecticut,808652.0,512495.0,5,148073.5,512495.0,-0.27583720812294166
Florida,3104569.0,3675417.0,22,1983572.0,1406399.0,0.08512893684441236
Georgia,1539063.0,1789039.0,12,975103.5,688935.5,0.08598534540107244
Illinois,2757540.0,1754449.0,18,1165243.0,1090733.5,0.016513670578540862
Indiana,1000104.0,1247978.0,9,768701.5,355330.5,0.18387718953312202
Iowa,664676.0,612338.0,4,178627.0,459876.0,-0.22023955884587013
Kansas,464380.0,563190.0,4,309239.0,204542.0,0.10188794923946787
Kentucky,612977.0,935304.0,6,475510.0,298624.5,0.11424638034051958
Louisiana,363002.0,835715.0,5,363002.0,236351.5,0.10565504618688147
Maryland,1493047.0,737906.0,8,527710.0,587758.5,-0.026916075775688685
Massachusetts,1010800.0,497953.0,5,256418.5,497953.0,-0.16008882832378793
Michigan,2009648.0,1853459.0,13,1121343.5,810197.0,0.08054307064236119
Mississippi,239849.0,471162.0,3,239849.0,115653.5,0.17467451277125107
Missouri,1027969.0,1330975.0,8,757099.0,422365.0,0.14189993488611854
Nevada,491272.0,439727.0,4,169538.0,295957.5,-0.13578908248021748
New Jersey,1856819.0,1198664.0,12,473982.0,1053747.5,-0.18974594196727654
New York,2858060.0,1639593.0,21,932631.0,1316174.5,-0.0852763652509431
North Carolina,1771061.0,1658140.0,12,1330592.0,383996.5,0.2760396663829271
Ohio,2082684.0,2291333.0,16,1592431.0,594561.5,0.228135715979156
Oklahoma,428452.0,730531.0,5,308971.0,270515.5,0.0331803831462584
Oregon,1061412.0,702531.0,5,355884.0,526082.5,-0.09648752822511839
Pennsylvania,2481193.0,2206260.0,17,1341931.5,1001778.0,0.0725668076031909
South Carolina,758340.0,927494.0,7,513350.5,329559.5,0.10902081699621671
Tennessee,846450.0,1279655.0,9,625308.0,437735.5,0.08822353552623224
Texas,3293180.0,4135359.0,32,2497316.0,1216921.5,0.1723615505013839
Utah,374009.0,617307.0,4,239391.0,256263.0,-0.01701979994270243
Virginia,1668446.0,1408701.0,10,714841.0,823722.5,-0.035383912435772484
Washington,1437839.0,1048712.0,8,621013.0,622254.5,-0.0004992859587436574
Wisconsin,1058376.0,1172964.0,7,768151.0,347512.0,0.18851407674312295
