year,state,district,dem_votes,rep_votes,winner,wasted_democrat,wasted_republican
1976,Alabama,1,58906.0,98257.0,r,58906.0,19674.5
1976,Alabama,2,66288.0,90069.0,r,66288.0,11889.5
1976,Alabama,4,141490.0,34531.0,d,53478.5,34531.0
1976,Alabama,6,69384.0,92113.0,r,69384.0,11363.5
1976,Alaska,0,34194.0,83722.0,r,34194.0,24763.0
1976,Arizona,1,68404.0,96397.0,r,68404.0,13995.5
1976,Arizona,2,106054.0,71765.0,d,17143.5,71765.0
1976,Arizona,3,88854.0,79162.0,d,4845.0,79162.0
1976,Arizona,4,92435.0,93154.0,r,92435.0,358.5
1976,Arkansas,1,116217.0,52565.0,d,31825.0,52565.0
1976,Arkansas,2,144780.0,22819.0,d,60979.5,22819.0
1976,California,1,160477.0,56539.0,d,51968.0,56539.0
1976,California,2,88829.0,121290.0,r,88829.0,16229.5
1976,California,3,139779.0,52075.0,d,43851.0,52075.0
1976,California,4,75844.0,75193.0,d,324.5,75193.0
1976,California,5,103746.0,64008.0,d,19868.0,64008.0
1976,California,6,86493.0,35359.0,d,25566.0,35359.0
1976,California,7,147064.0,45863.0,d,50599.5,45863.0
1976,California,8,122342.0,68374.0,d,26983.0,68374.0
1976,California,9,116398.0,44607.0,d,35894.5,44607.0
1976,California,10,111992.0,38088.0,d,36951.0,38088.0
1976,California,11,107618.0,62435.0,d,22590.5,62435.0
1976,California,12,61526.0,130332.0,r,61526.0,34402.0
1976,California,13,135291.0,63130.0,d,36079.5,63130.0
1976,California,14,123285.0,46674.0,d,38304.5,46674.0
1976,California,15,92735.0,35700.0,d,28516.5,35700.0
1976,California,16,104545.0,91160.0,d,6691.5,91160.0
1976,California,17,103898.0,54270.0,d,24813.0,54270.0
1976,California,18,56683.0,101658.0,r,56683.0,22486.5
1976,California,19,68722.0,124201.0,r,68722.0,27738.5
1976,California,20,71193.0,146158.0,r,71193.0,37481.5
1976,California,21,101837.0,44094.0,d,28870.5,44094.0
1976,California,22,68543.0,114769.0,r,68543.0,23112.0
1976,California,23,130619.0,86434.0,d,22091.5,86434.0
1976,California,24,108296.0,51478.0,d,28408.0,51478.0
1976,California,25,57966.0,17737.0,d,20113.5,17737.0
1976,California,26,59093.0,112619.0,r,59093.0,26762.0
1976,California,27,94988.0,114623.0,r,94988.0,9816.5
1976,California,28,114612.0,28303.0,d,43153.5,28303.0
1976,California,29,82515.0,10852.0,d,35830.5,10852.0
1976,California,30,82767.0,28503.0,d,27131.0,28503.0
1976,California,32,92034.0,35394.0,d,28319.0,35394.0
1976,California,33,77807.0,95398.0,r,77807.0,8794.5
1976,California,34,100988.0,98147.0,d,1419.5,98147.0
1976,California,35,87472.0,76765.0,d,5352.5,76765.0
1976,California,36,90830.0,49368.0,d,20730.0,49368.0
1976,California,37,49021.0,133634.0,r,49021.0,42305.5
1976,California,38,103317.0,59092.0,d,22111.5,59092.0
1976,California,39,86745.0,122657.0,r,86745.0,17955.0
1976,California,40,102132.0,148512.0,r,102132.0,23189.0
1976,California,41,94590.0,128784.0,r,94590.0,17096.0
1976,California,42,103062.0,32565.0,d,35247.5,32565.0
1976,California,43,93475.0,173576.0,r,93475.0,40049.5
1976,Colorado,1,103037.0,89384.0,d,6825.5,89384.0
1976,Colorado,2,121340.0,118938.0,d,1200.0,118938.0
1976,Colorado,3,89302.0,82315.0,d,3492.5,82315.0
1976,Colorado,4,76995.0,119458.0,r,76995.0,21230.5
1976,Colorado,5,64067.0,126784.0,r,64067.0,31357.5
1976,Connecticut,1,128479.0,94106.0,d,17185.5,94106.0
1976,Connecticut,2,142684.0,74743.0,d,33969.5,74743.0
1976,Connecticut,3,121623.0,96714.0,d,12453.5,96714.0
1976,Connecticut,4,76722.0,126314.0,r,76722.0,24795.0
1976,Connecticut,5,77308.0,157009.0,r,77308.0,39849.5
1976,Connecticut,6,134914.0,102364.0,d,16274.0,102364.0
1976,Delaware,0,102411.0,110636.0,r,102411.0,4111.5
1976,Florida,5,96260.0,138371.0,r,96260.0,21054.5
